,usd_low,usd_high,usd_open,usd_open,usd_open,block_num,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks
,min,max,median,mean,first,,total,total,total,min,min,min,max,max,max,mean,mean,mean,median,median,median
week,,,,,,,,,,,,,,,,,,,,,
2019-08-05/2019-08-11,201.55,215.98,207.94,207.94,209.16,,,,,,,,,,,,,,,,
2019-08-12/2019-08-18,174.21,216.55,188.2,196.86000000000004,215.14,8371085.0,1268858.0,4123748.0,44199.0,243272.0,532907.0,6243.0,300760.0,625869.0,6360.0,276224.4285714286,589106.8571428572,6314.142857142857,286579.0,603463.0,6307.0
2019-08-19/2019-08-25,180.41,203.54,192.93,192.93428571428575,195.42,8415960.0,1193571.0,4283167.0,43355.0,259648.0,581073.0,6112.0,293518.0,637039.0,6367.0,280088.5714285714,611881.0,6193.571428571428,283233.0,621477.0,6175.0
2019-08-26/2019-09-01,163.89,194.28,171.6,176.3742857142857,184.45,8461047.0,1157865.0,4269803.0,43527.0,249174.0,563229.0,6186.0,290374.0,639008.0,6262.0,274700.85714285716,609971.8571428572,6218.142857142857,279640.0,618128.0,6223.0
2019-09-02/2019-09-08,166.94,184.27,176.5,175.45428571428573,170.31,8505934.0,1162729.0,4350807.0,43139.0,264814.0,574818.0,6116.0,308552.0,654295.0,6218.0,285680.0,621543.8571428572,6162.714285714285,284600.0,630299.0,6164.0
2019-09-09/2019-09-15,174.81,190.99,180.03,180.56571428571428,180.14,8550784.0,1115619.0,4064779.0,42775.0,253791.0,532571.0,6046.0,302012.0,649122.0,6137.0,275184.85714285716,580682.7142857143,6110.714285714285,282156.0,592169.0,6124.0
2019-09-16/2019-09-22,188.43,224.06,213.04,209.22571428571428,189.18,8595692.0,1164168.0,3939863.0,43054.0,217786.0,473299.0,6028.0,295662.0,624403.0,6226.0,267829.5714285714,562837.5714285715,6150.571428571428,280942.0,585064.0,6161.0
2019-09-23/2019-09-29,153.0,212.0,170.91,179.6442857142857,208.22,8640369.0,1060639.0,3753409.0,42321.0,209980.0,487934.0,5812.0,270816.0,601243.0,6200.0,241764.2857142857,536201.2857142857,6045.857142857143,242907.0,521565.0,6058.0
2019-09-30/2019-10-06,165.26,185.79,176.92,175.09857142857143,168.61,8685215.0,1033452.0,3654753.0,43389.0,217076.0,489687.0,6118.0,254324.0,565450.0,6240.0,234061.85714285713,522107.5714285714,6198.428571428572,227930.0,505673.0,6225.0
